province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Kentucky,US,2021-08-08,37.83218794,-83.82553961,POINT(-83.82553961 37.83218794),1409,13,,,21197,Powell,"Powell, Kentucky, US"
Kentucky,US,2021-08-08,37.10466131,-84.57629079,POINT(-84.57629079 37.10466131),7239,118,,,21199,Pulaski,"Pulaski, Kentucky, US"
Kentucky,US,2021-08-08,38.51923469,-84.05055616,POINT(-84.05055616 38.51923469),245,14,,,21201,Robertson,"Robertson, Kentucky, US"
Kentucky,US,2021-08-08,37.36642393,-84.31176452,POINT(-84.31176452 37.36642393),1742,24,,,21203,Rockcastle,"Rockcastle, Kentucky, US"
Kentucky,US,2021-08-08,38.19484205,-83.42088935,POINT(-83.42088935 38.19484205),2400,22,,,21205,Rowan,"Rowan, Kentucky, US"
Kentucky,US,2021-08-08,36.99308373,-85.06070117,POINT(-85.06070117 36.99308373),1955,46,,,21207,Russell,"Russell, Kentucky, US"
Kentucky,US,2021-08-08,38.29622293,-84.5816631,POINT(-84.5816631 38.29622293),5722,36,,,21209,Scott,"Scott, Kentucky, US"
Kentucky,US,2021-08-08,38.21476019,-85.194223,POINT(-85.194223 38.21476019),5087,79,,,21211,Shelby,"Shelby, Kentucky, US"
Kentucky,US,2021-08-08,36.74058474,-86.58047435,POINT(-86.58047435 36.74058474),2306,44,,,21213,Simpson,"Simpson, Kentucky, US"
Kentucky,US,2021-08-08,38.03223971,-85.32749335,POINT(-85.32749335 38.03223971),1791,25,,,21215,Spencer,"Spencer, Kentucky, US"
Kentucky,US,2021-08-08,37.3677562,-85.3329931,POINT(-85.3329931 37.3677562),3362,53,,,21217,Taylor,"Taylor, Kentucky, US"
Kentucky,US,2021-08-08,36.8381152,-87.17878374,POINT(-87.17878374 36.8381152),1250,28,,,21219,Todd,"Todd, Kentucky, US"
Kentucky,US,2021-08-08,36.80767017,-87.87333656,POINT(-87.87333656 36.80767017),1365,15,,,21221,Trigg,"Trigg, Kentucky, US"
Kentucky,US,2021-08-08,38.61056487,-85.33775972,POINT(-85.33775972 38.61056487),756,8,,,21223,Trimble,"Trimble, Kentucky, US"
Kentucky,US,2021-08-08,,,,9,0,,,90021,Unassigned,"Unassigned, Kentucky, US"
Kentucky,US,2021-08-08,37.66166713,-87.94300009,POINT(-87.94300009 37.66166713),1588,18,,,21225,Union,"Union, Kentucky, US"
Kentucky,US,2021-08-08,36.99903045,-86.42672751,POINT(-86.42672751 36.99903045),17355,193,,,21227,Warren,"Warren, Kentucky, US"
Kentucky,US,2021-08-08,37.75599461,-85.17407732,POINT(-85.17407732 37.75599461),1608,41,,,21229,Washington,"Washington, Kentucky, US"
Kentucky,US,2021-08-08,36.80310688,-84.8251971,POINT(-84.8251971 36.80310688),2283,48,,,21231,Wayne,"Wayne, Kentucky, US"
Kentucky,US,2021-08-08,37.52168356,-87.67989953,POINT(-87.67989953 37.52168356),1611,25,,,21233,Webster,"Webster, Kentucky, US"
Kentucky,US,2021-08-08,36.75700531,-84.14541217,POINT(-84.14541217 36.75700531),4512,63,,,21235,Whitley,"Whitley, Kentucky, US"
Kentucky,US,2021-08-08,37.73941626,-83.49303612,POINT(-83.49303612 37.73941626),571,7,,,21237,Wolfe,"Wolfe, Kentucky, US"
Kentucky,US,2021-08-08,38.04178222,-84.7417556,POINT(-84.7417556 38.04178222),2393,22,,,21239,Woodford,"Woodford, Kentucky, US"
